title,genre,cast,description
Barfi!,Comedy,"Ranbir Kapoor, Priyanka Chopra",A deaf-mute man falls in love with two women.
Movie 2020-853,Romance,"Varun Dhawan, Anushka Sharma, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2001-2,Comedy,"Salman Khan, Katrina Kaif, Kareena Kapoor",A police officer takes on the criminal underworld.
Movie 2002-679,Sci-Fi,"Priyanka Chopra, Katrina Kaif, Alia Bhatt",A thriller that keeps you guessing until the end.
Movie 2002-133,Drama,"Hrithik Roshan, Rajkummar Rao, Ranveer Singh",A love story across lifetimes and parallel worlds.
Movie 2002-757,Horror,"Ranveer Singh, Amitabh Bachchan, Deepika Padukone",A love story across lifetimes and parallel worlds.
Movie 2006-267,Romance,"Rajkummar Rao, Hrithik Roshan, Priyanka Chopra",A family torn apart by secrets and fate.
Movie 2002-861,Drama,"Varun Dhawan, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2005-838,Historical,"Salman Khan, Aamir Khan",An epic battle between good and evil.
Movie 2025-962,Romance,"Varun Dhawan, Ajay Devgn, Rajkummar Rao",A police officer takes on the criminal underworld.
Movie 2009-166,Comedy,"Hrithik Roshan, Anushka Sharma, Kareena Kapoor",A love story across lifetimes and parallel worlds.
Movie 2001-392,Romance,"Aamir Khan, Alia Bhatt, Kareena Kapoor",A sci-fi adventure into uncharted realms.
Movie 2020-385,Comedy,"Alia Bhatt, Kareena Kapoor",A police officer takes on the criminal underworld.
Movie 2011-506,Romance,"Ajay Devgn, Priyanka Chopra",A historical drama based on real events.
Movie 2002-393,Historical,"Kareena Kapoor, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2004-421,Musical,"Deepika Padukone, Ajay Devgn, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2006-553,Historical,"Amitabh Bachchan, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2004-785,Sci-Fi,"Kareena Kapoor, Shah Rukh Khan, Amitabh Bachchan",A police officer takes on the criminal underworld.
Movie 2024-857,Thriller,"Kareena Kapoor, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2021-22,Romance,"Alia Bhatt, Salman Khan, Anushka Sharma",A historical drama based on real events.
Movie 2018-175,Musical,"Anushka Sharma, Amitabh Bachchan, Alia Bhatt",A police officer takes on the criminal underworld.
Drishyam,Thriller,"Ajay Devgn, Tabu",A man uses his wit to protect his family from the law.
Movie 2015-432,Drama,"Katrina Kaif, Kareena Kapoor, Anushka Sharma",A gripping tale of revenge and redemption.
Movie 2017-434,Sci-Fi,"Kareena Kapoor, Salman Khan, Shah Rukh Khan",A thriller that keeps you guessing until the end.
Movie 2016-667,Sci-Fi,"Alia Bhatt, Shah Rukh Khan, Aamir Khan",A police officer takes on the criminal underworld.
Movie 2006-709,Musical,"Alia Bhatt, Hrithik Roshan",A gripping tale of revenge and redemption.
Movie 2009-738,Drama,"Ajay Devgn, Priyanka Chopra",A sci-fi adventure into uncharted realms.
Movie 2005-6,Comedy,"Salman Khan, Deepika Padukone",A comedic twist on modern relationships.
Movie 2010-895,Historical,"Kareena Kapoor, Varun Dhawan, Aamir Khan",An epic battle between good and evil.
Movie 2005-630,Thriller,"Alia Bhatt, Kareena Kapoor, Amitabh Bachchan",A journey of love and sacrifice amidst chaos.
Movie 2009-88,Romance,"Alia Bhatt, Shah Rukh Khan, Salman Khan",An epic battle between good and evil.
Movie 2005-578,Action,"Varun Dhawan, Priyanka Chopra, Salman Khan",An epic battle between good and evil.
Movie 2017-122,Action,"Alia Bhatt, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2014-483,Musical,"Aamir Khan, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2010-687,Romance,"Kareena Kapoor, Salman Khan",A love story across lifetimes and parallel worlds.
Movie 2001-626,Horror,"Ranveer Singh, Kareena Kapoor, Anushka Sharma",A thriller that keeps you guessing until the end.
Movie 2014-613,Sci-Fi,"Hrithik Roshan, Shah Rukh Khan, Aamir Khan",An epic battle between good and evil.
Movie 2004-863,Drama,"Varun Dhawan, Aamir Khan, Deepika Padukone",A journey of love and sacrifice amidst chaos.
Movie 2002-55,Historical,"Salman Khan, Kareena Kapoor",A historical drama based on real events.
Gully Boy,Musical,"Ranveer Singh, Alia Bhatt",A street rapper from Mumbai fights his way to fame.
Movie 2023-76,Musical,"Rajkummar Rao, Anushka Sharma, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2006-813,Musical,"Aamir Khan, Alia Bhatt",A comedic twist on modern relationships.
Movie 2013-768,Romance,"Ajay Devgn, Salman Khan, Anushka Sharma",A thriller that keeps you guessing until the end.
Movie 2019-332,Thriller,"Rajkummar Rao, Varun Dhawan, Aamir Khan",An epic battle between good and evil.
Movie 2022-491,Action,"Kareena Kapoor, Deepika Padukone, Varun Dhawan",A journey of love and sacrifice amidst chaos.
Movie 2003-550,Musical,"Amitabh Bachchan, Alia Bhatt",A historical drama based on real events.
Movie 2015-250,Sci-Fi,"Anushka Sharma, Rajkummar Rao, Kareena Kapoor",A police officer takes on the criminal underworld.
Movie 2012-91,Comedy,"Alia Bhatt, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2025-754,Historical,"Salman Khan, Varun Dhawan",A historical drama based on real events.
Movie 2018-383,Action,"Ajay Devgn, Anushka Sharma, Aamir Khan",A historical drama based on real events.
Movie 2013-170,Sci-Fi,"Anushka Sharma, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2022-49,Comedy,"Alia Bhatt, Priyanka Chopra, Anushka Sharma",A sci-fi adventure into uncharted realms.
Movie 2014-93,Sci-Fi,"Hrithik Roshan, Rajkummar Rao, Ajay Devgn",An epic battle between good and evil.
Movie 2019-176,Action,"Shah Rukh Khan, Ajay Devgn, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2021-74,Musical,"Amitabh Bachchan, Shah Rukh Khan, Priyanka Chopra",A police officer takes on the criminal underworld.
Movie 2005-916,Sci-Fi,"Amitabh Bachchan, Deepika Padukone",A historical drama based on real events.
Movie 2016-953,Horror,"Ajay Devgn, Aamir Khan, Katrina Kaif",A sci-fi adventure into uncharted realms.
Movie 2005-864,Action,"Katrina Kaif, Rajkummar Rao, Aamir Khan",A comedic twist on modern relationships.
Movie 2009-608,Romance,"Katrina Kaif, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2023-310,Comedy,"Ranveer Singh, Salman Khan, Alia Bhatt",A love story across lifetimes and parallel worlds.
Movie 2004-889,Fantasy,"Katrina Kaif, Anushka Sharma",A love story across lifetimes and parallel worlds.
Movie 2001-54,Sci-Fi,"Deepika Padukone, Rajkummar Rao, Shah Rukh Khan",A historical drama based on real events.
Movie 2002-497,Fantasy,"Deepika Padukone, Shah Rukh Khan, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2022-621,Fantasy,"Varun Dhawan, Salman Khan, Priyanka Chopra",A love story across lifetimes and parallel worlds.
Movie 2019-228,Comedy,"Kareena Kapoor, Alia Bhatt, Varun Dhawan",A family torn apart by secrets and fate.
Movie 2018-149,Horror,"Hrithik Roshan, Anushka Sharma",A gripping tale of revenge and redemption.
Movie 2003-602,Thriller,"Priyanka Chopra, Hrithik Roshan, Amitabh Bachchan",A sci-fi adventure into uncharted realms.
Movie 2003-238,Musical,"Anushka Sharma, Ranveer Singh",A family torn apart by secrets and fate.
Movie 2019-774,Romance,"Kareena Kapoor, Ajay Devgn, Deepika Padukone",A sci-fi adventure into uncharted realms.
Movie 2011-714,Drama,"Salman Khan, Deepika Padukone",A thriller that keeps you guessing until the end.
Pathaan,Action,"Shah Rukh Khan, Deepika Padukone",An Indian spy returns to protect the nation from threats.
Movie 2001-652,Drama,"Hrithik Roshan, Alia Bhatt",An epic battle between good and evil.
Movie 2007-86,Thriller,"Hrithik Roshan, Katrina Kaif",A journey of love and sacrifice amidst chaos.
Movie 2025-390,Musical,"Deepika Padukone, Anushka Sharma",A love story across lifetimes and parallel worlds.
Movie 2021-542,Fantasy,"Katrina Kaif, Anushka Sharma, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2005-734,Drama,"Hrithik Roshan, Salman Khan, Anushka Sharma",A comedic twist on modern relationships.
Movie 2015-796,Fantasy,"Shah Rukh Khan, Salman Khan",A sci-fi adventure into uncharted realms.
Movie 2014-743,Historical,"Rajkummar Rao, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2015-822,Drama,"Priyanka Chopra, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2001-28,Drama,"Ajay Devgn, Deepika Padukone, Amitabh Bachchan",A family torn apart by secrets and fate.
Movie 2002-445,Sci-Fi,"Anushka Sharma, Hrithik Roshan, Deepika Padukone",A thriller that keeps you guessing until the end.
Movie 2020-359,Fantasy,"Priyanka Chopra, Kareena Kapoor",A love story across lifetimes and parallel worlds.
Movie 2000-209,Horror,"Katrina Kaif, Anushka Sharma, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2020-879,Historical,"Rajkummar Rao, Deepika Padukone",A love story across lifetimes and parallel worlds.
Movie 2006-735,Comedy,"Salman Khan, Rajkummar Rao",A thriller that keeps you guessing until the end.
Movie 2009-114,Historical,"Kareena Kapoor, Varun Dhawan, Alia Bhatt",An epic battle between good and evil.
Movie 2023-648,Sci-Fi,"Ranveer Singh, Hrithik Roshan, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2022-205,Musical,"Rajkummar Rao, Salman Khan",A gripping tale of revenge and redemption.
Movie 2013-950,Horror,"Rajkummar Rao, Katrina Kaif, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2025-104,Sci-Fi,"Katrina Kaif, Aamir Khan, Ajay Devgn",A family torn apart by secrets and fate.
Movie 2016-927,Historical,"Shah Rukh Khan, Rajkummar Rao, Alia Bhatt",A family torn apart by secrets and fate.
Movie 2000-469,Musical,"Anushka Sharma, Rajkummar Rao, Deepika Padukone",A thriller that keeps you guessing until the end.
Movie 2005-32,Sci-Fi,"Ranveer Singh, Deepika Padukone",A sci-fi adventure into uncharted realms.
Movie 2001-886,Comedy,"Shah Rukh Khan, Ranveer Singh",A historical drama based on real events.
Movie 2016-849,Musical,"Ajay Devgn, Priyanka Chopra",A thriller that keeps you guessing until the end.
Movie 2022-153,Thriller,"Varun Dhawan, Shah Rukh Khan",A love story across lifetimes and parallel worlds.
Movie 2023-882,Sci-Fi,"Varun Dhawan, Anushka Sharma, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2019-280,Thriller,"Alia Bhatt, Aamir Khan",A love story across lifetimes and parallel worlds.
Movie 2012-611,Musical,"Aamir Khan, Katrina Kaif",A sci-fi adventure into uncharted realms.
Movie 2019-514,Thriller,"Ajay Devgn, Varun Dhawan",A journey of love and sacrifice amidst chaos.
Movie 2023-622,Historical,"Anushka Sharma, Amitabh Bachchan",A gripping tale of revenge and redemption.
Movie 2018-279,Horror,"Ajay Devgn, Aamir Khan, Priyanka Chopra",A family torn apart by secrets and fate.
Movie 2012-325,Comedy,"Aamir Khan, Amitabh Bachchan",A police officer takes on the criminal underworld.
Movie 2002-471,Romance,"Varun Dhawan, Rajkummar Rao, Kareena Kapoor",A love story across lifetimes and parallel worlds.
Movie 2003-108,Romance,"Ajay Devgn, Varun Dhawan, Shah Rukh Khan",A sci-fi adventure into uncharted realms.
Movie 2024-935,Horror,"Ajay Devgn, Hrithik Roshan",A family torn apart by secrets and fate.
Movie 2022-959,Fantasy,"Varun Dhawan, Aamir Khan",A sci-fi adventure into uncharted realms.
Movie 2014-821,Drama,"Rajkummar Rao, Ranveer Singh, Alia Bhatt",A thriller that keeps you guessing until the end.
Movie 2000-755,Sci-Fi,"Shah Rukh Khan, Varun Dhawan",An epic battle between good and evil.
Movie 2011-922,Horror,"Varun Dhawan, Kareena Kapoor, Deepika Padukone",A sci-fi adventure into uncharted realms.
Movie 2014-561,Comedy,"Shah Rukh Khan, Kareena Kapoor",A love story across lifetimes and parallel worlds.
Movie 2017-746,Sci-Fi,"Deepika Padukone, Hrithik Roshan",A police officer takes on the criminal underworld.
Movie 2012-247,Romance,"Amitabh Bachchan, Hrithik Roshan",A comedic twist on modern relationships.
Movie 2022-933,Comedy,"Ajay Devgn, Hrithik Roshan",A police officer takes on the criminal underworld.
Movie 2007-866,Fantasy,"Varun Dhawan, Anushka Sharma",A comedic twist on modern relationships.
Movie 2024-597,Fantasy,"Kareena Kapoor, Alia Bhatt, Shah Rukh Khan",A comedic twist on modern relationships.
Movie 2010-921,Historical,"Amitabh Bachchan, Deepika Padukone",A historical drama based on real events.
Movie 2023-830,Comedy,"Varun Dhawan, Amitabh Bachchan",A family torn apart by secrets and fate.
Movie 2016-641,Musical,"Ranveer Singh, Varun Dhawan",A comedic twist on modern relationships.
Movie 2000-391,Romance,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif",A family torn apart by secrets and fate.
Movie 2015-380,Sci-Fi,"Hrithik Roshan, Amitabh Bachchan",A police officer takes on the criminal underworld.
Movie 2022-465,Comedy,"Aamir Khan, Katrina Kaif, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2021-672,Historical,"Rajkummar Rao, Ranveer Singh, Katrina Kaif",A journey of love and sacrifice amidst chaos.
Movie 2005-812,Thriller,"Ranveer Singh, Ajay Devgn",A love story across lifetimes and parallel worlds.
Movie 2006-631,Thriller,"Kareena Kapoor, Anushka Sharma",A police officer takes on the criminal underworld.
Movie 2008-139,Sci-Fi,"Katrina Kaif, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2010-245,Drama,"Priyanka Chopra, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2000-365,Drama,"Ranveer Singh, Alia Bhatt, Salman Khan",A historical drama based on real events.
Movie 2002-653,Sci-Fi,"Katrina Kaif, Hrithik Roshan, Varun Dhawan",A historical drama based on real events.
Movie 2002-341,Comedy,"Ranveer Singh, Shah Rukh Khan",A family torn apart by secrets and fate.
Movie 2001-80,Romance,"Kareena Kapoor, Varun Dhawan, Priyanka Chopra",A thriller that keeps you guessing until the end.
Movie 2006-137,Historical,"Alia Bhatt, Varun Dhawan",A comedic twist on modern relationships.
Movie 2008-815,Comedy,"Rajkummar Rao, Ajay Devgn, Priyanka Chopra",A historical drama based on real events.
Movie 2023-284,Musical,"Katrina Kaif, Deepika Padukone",A historical drama based on real events.
Movie 2010-115,Romance,"Hrithik Roshan, Deepika Padukone",A sci-fi adventure into uncharted realms.
Movie 2016-121,Action,"Aamir Khan, Salman Khan, Deepika Padukone",A comedic twist on modern relationships.
Movie 2016-95,Sci-Fi,"Deepika Padukone, Ranveer Singh, Amitabh Bachchan",A love story across lifetimes and parallel worlds.
Movie 2005-266,Musical,"Hrithik Roshan, Ajay Devgn, Katrina Kaif",A police officer takes on the criminal underworld.
Movie 2012-845,Sci-Fi,"Aamir Khan, Priyanka Chopra, Katrina Kaif",A love story across lifetimes and parallel worlds.
Movie 2024-493,Drama,"Katrina Kaif, Hrithik Roshan, Priyanka Chopra",An epic battle between good and evil.
Movie 2013-248,Action,"Alia Bhatt, Rajkummar Rao",A family torn apart by secrets and fate.
Movie 2015-406,Romance,"Anushka Sharma, Katrina Kaif",A thriller that keeps you guessing until the end.
Movie 2017-902,Drama,"Hrithik Roshan, Ajay Devgn",A family torn apart by secrets and fate.
Movie 2007-112,Fantasy,"Alia Bhatt, Rajkummar Rao, Deepika Padukone",A love story across lifetimes and parallel worlds.
Movie 2001-496,Comedy,"Anushka Sharma, Salman Khan",A thriller that keeps you guessing until the end.
Movie 2012-481,Action,"Shah Rukh Khan, Alia Bhatt",A comedic twist on modern relationships.
Movie 2006-943,Sci-Fi,"Katrina Kaif, Amitabh Bachchan, Anushka Sharma",A historical drama based on real events.
Movie 2022-673,Horror,"Ajay Devgn, Deepika Padukone, Kareena Kapoor",A historical drama based on real events.
Movie 2011-688,Drama,"Varun Dhawan, Shah Rukh Khan, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2005-188,Romance,"Amitabh Bachchan, Shah Rukh Khan, Priyanka Chopra",A gripping tale of revenge and redemption.
Movie 2000-547,Action,"Ajay Devgn, Ranveer Singh",A journey of love and sacrifice amidst chaos.
Movie 2015-42,Romance,"Katrina Kaif, Priyanka Chopra",A historical drama based on real events.
Movie 2004-109,Sci-Fi,"Ranveer Singh, Ajay Devgn, Anushka Sharma",A family torn apart by secrets and fate.
Movie 2015-952,Thriller,"Priyanka Chopra, Hrithik Roshan, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2024-701,Comedy,"Varun Dhawan, Priyanka Chopra, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2010-635,Comedy,"Ajay Devgn, Kareena Kapoor",A comedic twist on modern relationships.
Movie 2016-459,Comedy,"Varun Dhawan, Salman Khan",A family torn apart by secrets and fate.
Movie 2001-600,Sci-Fi,"Anushka Sharma, Ajay Devgn, Deepika Padukone",A love story across lifetimes and parallel worlds.
Movie 2018-851,Comedy,"Amitabh Bachchan, Katrina Kaif",A gripping tale of revenge and redemption.
Movie 2011-402,Romance,"Shah Rukh Khan, Rajkummar Rao, Aamir Khan",A sci-fi adventure into uncharted realms.
Movie 2015-536,Historical,"Alia Bhatt, Salman Khan, Katrina Kaif",A comedic twist on modern relationships.
Movie 2023-388,Thriller,"Alia Bhatt, Amitabh Bachchan, Deepika Padukone",A journey of love and sacrifice amidst chaos.
Movie 2017-486,Drama,"Priyanka Chopra, Deepika Padukone, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2023-128,Horror,"Aamir Khan, Kareena Kapoor, Deepika Padukone",A historical drama based on real events.
Movie 2003-368,Comedy,"Deepika Padukone, Ajay Devgn",A historical drama based on real events.
Movie 2010-375,Comedy,"Varun Dhawan, Ajay Devgn, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2015-198,Historical,"Hrithik Roshan, Deepika Padukone, Kareena Kapoor",An epic battle between good and evil.
Movie 2006-839,Musical,"Shah Rukh Khan, Priyanka Chopra, Katrina Kaif",A journey of love and sacrifice amidst chaos.
Movie 2009-582,Sci-Fi,"Hrithik Roshan, Ajay Devgn, Shah Rukh Khan",A family torn apart by secrets and fate.
Movie 2011-168,Drama,"Katrina Kaif, Kareena Kapoor, Deepika Padukone",A police officer takes on the criminal underworld.
Movie 2010-297,Action,"Varun Dhawan, Alia Bhatt, Shah Rukh Khan",A police officer takes on the criminal underworld.
Movie 2021-724,Comedy,"Ajay Devgn, Aamir Khan",A historical drama based on real events.
Movie 2025-442,Musical,"Aamir Khan, Salman Khan",A love story across lifetimes and parallel worlds.
Movie 2009-400,Thriller,"Varun Dhawan, Aamir Khan, Amitabh Bachchan",A love story across lifetimes and parallel worlds.
Movie 2008-295,Thriller,"Rajkummar Rao, Priyanka Chopra, Salman Khan",An epic battle between good and evil.
Movie 2018-71,Action,"Ranveer Singh, Aamir Khan",A thriller that keeps you guessing until the end.
Movie 2005-110,Fantasy,"Katrina Kaif, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2019-566,Horror,"Shah Rukh Khan, Ranveer Singh",An epic battle between good and evil.
Movie 2009-322,Drama,"Priyanka Chopra, Amitabh Bachchan",A comedic twist on modern relationships.
Movie 2010-869,Action,"Anushka Sharma, Rajkummar Rao, Kareena Kapoor",A police officer takes on the criminal underworld.
Movie 2019-488,Fantasy,"Rajkummar Rao, Deepika Padukone",A gripping tale of revenge and redemption.
Movie 2007-606,Historical,"Shah Rukh Khan, Hrithik Roshan, Ranveer Singh",A comedic twist on modern relationships.
Movie 2005-162,Sci-Fi,"Kareena Kapoor, Salman Khan, Alia Bhatt",A comedic twist on modern relationships.
Movie 2014-899,Romance,"Alia Bhatt, Hrithik Roshan, Kareena Kapoor",A historical drama based on real events.
Movie 2010-167,Action,"Shah Rukh Khan, Katrina Kaif",A historical drama based on real events.
Movie 2014-353,Romance,"Rajkummar Rao, Anushka Sharma",A love story across lifetimes and parallel worlds.
Movie 2010-713,Romance,"Amitabh Bachchan, Anushka Sharma",A family torn apart by secrets and fate.
Movie 2003-186,Thriller,"Amitabh Bachchan, Hrithik Roshan",A police officer takes on the criminal underworld.
Movie 2008-555,Fantasy,"Kareena Kapoor, Aamir Khan, Priyanka Chopra",A family torn apart by secrets and fate.
Movie 2014-639,Drama,"Varun Dhawan, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2013-690,Thriller,"Shah Rukh Khan, Priyanka Chopra, Deepika Padukone",A love story across lifetimes and parallel worlds.
Movie 2014-795,Fantasy,"Anushka Sharma, Varun Dhawan, Amitabh Bachchan",A thriller that keeps you guessing until the end.
Movie 2006-319,Musical,"Ajay Devgn, Ranveer Singh, Anushka Sharma",An epic battle between good and evil.
Movie 2014-41,Sci-Fi,"Hrithik Roshan, Kareena Kapoor",A family torn apart by secrets and fate.
Movie 2003-680,Fantasy,"Katrina Kaif, Anushka Sharma",A historical drama based on real events.
Movie 2005-58,Action,"Salman Khan, Rajkummar Rao, Hrithik Roshan",A journey of love and sacrifice amidst chaos.
Movie 2013-92,Fantasy,"Anushka Sharma, Hrithik Roshan, Salman Khan",A historical drama based on real events.
Movie 2007-294,Drama,"Katrina Kaif, Alia Bhatt, Salman Khan",A journey of love and sacrifice amidst chaos.
Movie 2001-288,Musical,"Aamir Khan, Anushka Sharma, Katrina Kaif",A police officer takes on the criminal underworld.
Chak De! India,Sports,Shah Rukh Khan,A disgraced player coaches India's women's hockey team.
Movie 2021-620,Sci-Fi,"Kareena Kapoor, Amitabh Bachchan, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2025-208,Musical,"Ranveer Singh, Aamir Khan, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2010-531,Historical,"Kareena Kapoor, Salman Khan",A police officer takes on the criminal underworld.
Movie 2006-7,Historical,"Ranveer Singh, Salman Khan, Shah Rukh Khan",A gripping tale of revenge and redemption.
Movie 2009-712,Thriller,"Ajay Devgn, Deepika Padukone, Amitabh Bachchan",A love story across lifetimes and parallel worlds.
Movie 2013-300,Comedy,"Salman Khan, Amitabh Bachchan",A historical drama based on real events.
Movie 2018-331,Action,"Varun Dhawan, Priyanka Chopra",A journey of love and sacrifice amidst chaos.
Movie 2025-260,Horror,"Ranveer Singh, Ajay Devgn",A gripping tale of revenge and redemption.
Movie 2005-552,Thriller,"Ranveer Singh, Salman Khan",A love story across lifetimes and parallel worlds.
Movie 2020-567,Romance,"Katrina Kaif, Deepika Padukone",A sci-fi adventure into uncharted realms.
Movie 2020-125,Comedy,"Deepika Padukone, Rajkummar Rao, Shah Rukh Khan",A journey of love and sacrifice amidst chaos.
Movie 2000-495,Action,"Ajay Devgn, Salman Khan, Alia Bhatt",A gripping tale of revenge and redemption.
Movie 2020-99,Romance,"Priyanka Chopra, Rajkummar Rao, Salman Khan",A gripping tale of revenge and redemption.
Movie 2024-571,Fantasy,"Ajay Devgn, Katrina Kaif",A love story across lifetimes and parallel worlds.
Movie 2010-193,Historical,"Amitabh Bachchan, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2008-113,Musical,"Ajay Devgn, Kareena Kapoor, Salman Khan",A sci-fi adventure into uncharted realms.
Movie 2014-275,Romance,"Salman Khan, Ajay Devgn, Katrina Kaif",A comedic twist on modern relationships.
Movie 2011-350,Sci-Fi,"Ranveer Singh, Deepika Padukone",A comedic twist on modern relationships.
Movie 2006-85,Thriller,"Deepika Padukone, Hrithik Roshan, Aamir Khan",A gripping tale of revenge and redemption.
Movie 2004-681,Sci-Fi,"Salman Khan, Kareena Kapoor",A journey of love and sacrifice amidst chaos.
Movie 2009-270,Romance,"Katrina Kaif, Ranveer Singh",A historical drama based on real events.
Movie 2009-920,Musical,"Deepika Padukone, Katrina Kaif, Rajkummar Rao",A love story across lifetimes and parallel worlds.
Movie 2019-748,Action,"Priyanka Chopra, Shah Rukh Khan",An epic battle between good and evil.
Movie 2006-423,Fantasy,"Shah Rukh Khan, Alia Bhatt",An epic battle between good and evil.
Movie 2003-420,Sci-Fi,"Alia Bhatt, Anushka Sharma, Katrina Kaif",A historical drama based on real events.
Movie 2008-867,Thriller,"Deepika Padukone, Aamir Khan, Kareena Kapoor",A gripping tale of revenge and redemption.
Movie 2003-758,Historical,"Salman Khan, Ranveer Singh, Priyanka Chopra",A journey of love and sacrifice amidst chaos.
Movie 2004-941,Musical,"Kareena Kapoor, Hrithik Roshan",A journey of love and sacrifice amidst chaos.
Movie 2001-574,Historical,"Deepika Padukone, Ranveer Singh, Salman Khan",A comedic twist on modern relationships.
Zindagi Na Milegi Dobara,Drama,"Hrithik Roshan, Farhan Akhtar",Three friends go on a road trip across Spain.
Movie 2008-35,Drama,"Aamir Khan, Katrina Kaif, Varun Dhawan",A sci-fi adventure into uncharted realms.
Movie 2004-577,Comedy,"Kareena Kapoor, Priyanka Chopra, Aamir Khan",A police officer takes on the criminal underworld.
Movie 2013-118,Horror,"Alia Bhatt, Katrina Kaif",A love story across lifetimes and parallel worlds.
Movie 2001-210,Historical,"Anushka Sharma, Aamir Khan, Ranveer Singh",A historical drama based on real events.
Movie 2002-315,Historical,"Varun Dhawan, Deepika Padukone",An epic battle between good and evil.
Movie 2021-178,Comedy,"Ajay Devgn, Ranveer Singh",A thriller that keeps you guessing until the end.
Movie 2016-433,Musical,"Katrina Kaif, Deepika Padukone, Varun Dhawan",A love story across lifetimes and parallel worlds.
Movie 2007-554,Thriller,"Aamir Khan, Ranveer Singh, Anushka Sharma",An epic battle between good and evil.
Movie 2016-69,Comedy,"Amitabh Bachchan, Anushka Sharma, Salman Khan",A sci-fi adventure into uncharted realms.
Movie 2019-98,Historical,"Anushka Sharma, Ajay Devgn",A journey of love and sacrifice amidst chaos.
Movie 2001-730,Musical,"Aamir Khan, Priyanka Chopra",A historical drama based on real events.
Movie 2025-546,Drama,"Shah Rukh Khan, Salman Khan",A thriller that keeps you guessing until the end.
Movie 2025-182,Drama,"Kareena Kapoor, Rajkummar Rao, Ranveer Singh",A gripping tale of revenge and redemption.
Movie 2021-386,Drama,"Varun Dhawan, Shah Rukh Khan",A thriller that keeps you guessing until the end.
Movie 2011-532,Comedy,"Aamir Khan, Ajay Devgn, Deepika Padukone",An epic battle between good and evil.
Movie 2008-87,Drama,"Varun Dhawan, Priyanka Chopra, Ranveer Singh",A police officer takes on the criminal underworld.
Movie 2025-338,Thriller,"Rajkummar Rao, Shah Rukh Khan, Aamir Khan",A historical drama based on real events.
Movie 2011-142,Action,"Anushka Sharma, Shah Rukh Khan, Amitabh Bachchan",A police officer takes on the criminal underworld.
Movie 2016-901,Drama,"Salman Khan, Ranveer Singh",A sci-fi adventure into uncharted realms.
Movie 2008-191,Comedy,"Rajkummar Rao, Anushka Sharma",A journey of love and sacrifice amidst chaos.
Movie 2021-698,Thriller,"Shah Rukh Khan, Deepika Padukone, Ranveer Singh",A comedic twist on modern relationships.
Movie 2023-362,Thriller,"Katrina Kaif, Amitabh Bachchan, Ranveer Singh",A journey of love and sacrifice amidst chaos.
Movie 2017-356,Fantasy,"Anushka Sharma, Deepika Padukone, Amitabh Bachchan",A sci-fi adventure into uncharted realms.
Movie 2008-581,Comedy,"Salman Khan, Katrina Kaif, Shah Rukh Khan",A historical drama based on real events.
Movie 2021-828,Drama,"Anushka Sharma, Salman Khan, Katrina Kaif",A gripping tale of revenge and redemption.
Movie 2019-410,Fantasy,"Katrina Kaif, Ranveer Singh",A comedic twist on modern relationships.
Movie 2020-463,Thriller,"Amitabh Bachchan, Varun Dhawan, Priyanka Chopra",A historical drama based on real events.
Movie 2001-912,Drama,"Aamir Khan, Rajkummar Rao, Deepika Padukone",A comedic twist on modern relationships.
